size,count,method,workers,time_sec,images_per_sec
256,100,sequential,1,0.21525387499999993,464.56771103423824
256,100,threadpool,1,0.15593241700000005,641.3034693100407
256,100,threadpool,2,0.09198270900000005,1087.1608488938932
256,100,threadpool,4,0.0566966670000002,1763.7721102723665
256,100,threadpool,8,0.052615458000000004,1900.582144509699
256,100,processpool,1,0.4366971249999998,228.99166098242586
256,100,processpool,2,0.37202129100000003,268.8018197324088
256,100,processpool,4,0.3840326249999999,260.3945433021479
256,100,processpool,8,0.6454370840000001,154.93376888149177
256,500,sequential,1,1.0247307500000002,487.9330497303803
256,500,threadpool,1,0.8103040419999998,617.0523335486461
256,500,threadpool,2,0.45711812499999915,1093.809176785543
256,500,threadpool,4,0.2933492910000002,1704.4527303800428
256,500,threadpool,8,0.2820274170000001,1772.8772802255598
256,500,processpool,1,1.1533880000000005,433.50546390286684
256,500,processpool,2,0.8008151250000006,624.3638317895152
256,500,processpool,4,0.5900095839999997,847.4438611831097
256,500,processpool,8,0.735484249999999,679.8242110555062
256,1000,sequential,1,2.0013062500000007,499.67365064692103
256,1000,threadpool,1,1.577209250000001,634.0312802502264
256,1000,threadpool,2,0.8755856249999994,1142.0927564908352
256,1000,threadpool,4,0.5392693749999999,1854.360819210251
256,1000,threadpool,8,0.5178888330000007,1930.9163208004502
256,1000,processpool,1,1.7917632500000007,558.1094488906386
256,1000,processpool,2,1.1456672500000025,872.8537889164571
256,1000,processpool,4,0.8547125419999979,1169.9840014749689
256,1000,processpool,8,0.9778315420000006,1022.6710399980117
512,100,sequential,1,0.695907291000001,143.69730177176697
512,100,threadpool,1,0.5947011660000001,168.15167972951306
512,100,threadpool,2,0.34053783399999915,293.65312754059585
512,100,threadpool,4,0.21791312499999904,458.8984715812801
512,100,threadpool,8,0.19279158300000176,518.694843643662
512,100,processpool,1,0.8586100420000022,116.46730775133392
512,100,processpool,2,0.6219760829999998,160.7778863741293
512,100,processpool,4,0.5192100829999973,192.60026581571708
512,100,processpool,8,0.6825386669999993,146.51184589956733
512,500,sequential,1,3.7119705419999995,134.69934482039326
512,500,threadpool,1,3.1589620830000023,158.2798358646838
512,500,threadpool,2,1.750859541000004,285.5740213829059
512,500,threadpool,4,1.1927112919999985,419.21293388744124
512,500,threadpool,8,1.129813250000005,442.55101451500747
512,500,processpool,1,3.367352249999996,148.48461428411613
512,500,processpool,2,2.055493249999998,243.2506163666558
512,500,processpool,4,1.4997026249999976,333.39942977028585
512,500,processpool,8,1.6349532920000058,305.8191340673469
512,1000,sequential,1,7.6013294999999985,131.5559337350131
512,1000,threadpool,1,6.491052374999995,154.05822387929825
512,1000,threadpool,2,3.671332250000006,272.38068687463476
512,1000,threadpool,4,2.456259832999997,407.1230521156355
512,1000,threadpool,8,2.2146142080000004,451.5459154861522
512,1000,processpool,1,6.628929750000012,150.85391423856893
512,1000,processpool,2,3.8701984169999974,258.3846852935139
512,1000,processpool,4,2.594003791999995,385.5044480212548
512,1000,processpool,8,2.5284792500000037,395.49464366772975
1024,100,sequential,1,2.903074250000003,34.44624263399391
1024,100,threadpool,1,2.626456625000003,38.07411058996639
1024,100,threadpool,2,1.6772061249999979,59.62296375467871
1024,100,threadpool,4,0.9869207499999959,101.32525838574213
1024,100,threadpool,8,0.8341937910000041,119.87622190297446
1024,100,processpool,1,2.988706833000009,33.45928710566163
1024,100,processpool,2,1.7930025,55.772370646443605
1024,100,processpool,4,1.3231972499999927,75.57452224148784
1024,100,processpool,8,1.4073701669999963,71.0545117018956
1024,500,sequential,1,15.133261708000006,33.03980395288356
1024,500,threadpool,1,14.416400499999995,34.682721252090644
1024,500,threadpool,2,8.198438334000002,60.987224594522374
1024,500,threadpool,4,5.261799249999996,95.02452986970196
1024,500,threadpool,8,4.433048415999991,112.78920351859315
1024,500,processpool,1,13.480098042000009,37.091718357103005
1024,500,processpool,2,7.670274041999988,65.18671917876188
1024,500,processpool,4,5.011233916999998,99.77582533192297
1024,500,processpool,8,4.7272302920000016,105.77018023559404
1024,1000,sequential,1,28.22769812499999,35.426197190140186
1024,1000,threadpool,1,28.69853866599999,34.84497979629638
1024,1000,threadpool,2,15.88989354200001,62.93308368346269
1024,1000,threadpool,4,10.58999479199997,94.42875276533968
1024,1000,threadpool,8,9.030623249999962,110.7343283311043
1024,1000,processpool,1,28.81226849999996,34.70743721550427
1024,1000,processpool,2,16.119941582999957,62.034964261570096
1024,1000,processpool,4,10.329637708000007,96.80881636589527
1024,1000,processpool,8,9.628582166000001,103.85745094757078
